1,1100,GENERAL AGRICULTURE,,
2,1101,AGRICULTURE PRODUCTION AND MANAGEMENT,,
3,1102,AGRICULTURAL ECONOMICS,,
4,1103,ANIMAL SCIENCES,,
5,1104,FOOD SCIENCE,,
6,1105,PLANT SCIENCE AND AGRONOMY,,
7,1106,SOIL SCIENCE,,
8,1199,MISCELLANEOUS AGRICULTURE,,
9,1301,ENVIRONMENTAL SCIENCE,,
10,1302,FORESTRY,,
11,1303,NATURAL RESOURCES MANAGEMENT,,
12,1401,ARCHITECTURE,,
13,1501,AREA ETHNIC AND CIVILIZATION STUDIES,,
14,1901,COMMUNICATIONS,,
15,1902,JOURNALISM,,
16,1903,MASS MEDIA,,
17,1904,ADVERTISING AND PUBLIC RELATIONS,,
18,2001,COMMUNICATION TECHNOLOGIES,,
19,2100,COMPUTER AND INFORMATION SYSTEMS,,
20,2101,COMPUTER PROGRAMMING AND DATA PROCESSING,,
21,2102,COMPUTER SCIENCE,,
22,2105,INFORMATION SCIENCES,,
23,2106,COMPUTER ADMINISTRATION MANAGEMENT AND SECURITY,,
24,2107,COMPUTER NETWORKING AND TELECOMMUNICATIONS,,
25,2201,COSMETOLOGY SERVICES AND CULINARY ARTS,,
26,2300,GENERAL EDUCATION,,
27,2301,EDUCATIONAL ADMINISTRATION AND SUPERVISION,,
28,2303,SCHOOL STUDENT COUNSELING,,
29,2304,ELEMENTARY EDUCATION,,
30,2305,MATHEMATICS TEACHER EDUCATION,,
31,2306,PHYSICAL AND HEALTH EDUCATION TEACHING,,
32,2307,EARLY CHILDHOOD EDUCATION,,
33,2308,SCIENCE AND COMPUTER TEACHER EDUCATION,,
34,2309,SECONDARY TEACHER EDUCATION,,
35,2310,SPECIAL NEEDS EDUCATION,,
36,2311,SOCIAL SCIENCE OR HISTORY TEACHER EDUCATION,,
37,2312,TEACHER EDUCATION: MULTIPLE LEVELS,,
38,2313,LANGUAGE AND DRAMA EDUCATION,,
39,2314,ART AND MUSIC EDUCATION,,
40,2399,MISCELLANEOUS EDUCATION,,
41,2400,GENERAL ENGINEERING,,
42,2401,AEROSPACE ENGINEERING,,
43,2402,BIOLOGICAL ENGINEERING,,
44,2403,ARCHITECTURAL ENGINEERING,,
45,2404,BIOMEDICAL ENGINEERING,,
46,2405,CHEMICAL ENGINEERING,,
47,2406,CIVIL ENGINEERING,,
48,2407,COMPUTER ENGINEERING,,
49,2408,ELECTRICAL ENGINEERING,,
50,2409,ENGINEERING MECHANICS PHYSICS AND SCIENCE,,
51,2410,ENVIRONMENTAL ENGINEERING,,
52,2411,GEOLOGICAL AND GEOPHYSICAL ENGINEERING,,
53,2412,INDUSTRIAL AND MANUFACTURING ENGINEERING,,
54,2413,MATERIALS ENGINEERING AND MATERIALS SCIENCE,,
55,2414,MECHANICAL ENGINEERING,,
56,2415,METALLURGICAL ENGINEERING,,
57,2416,MINING AND MINERAL ENGINEERING,,
58,2417,NAVAL ARCHITECTURE AND MARINE ENGINEERING,,
59,2418,NUCLEAR ENGINEERING,,
60,2419,PETROLEUM ENGINEERING,,
61,2499,MISCELLANEOUS ENGINEERING,,
62,2500,ENGINEERING TECHNOLOGIES,,
63,2501,ENGINEERING AND INDUSTRIAL MANAGEMENT,,
64,2502,ELECTRICAL ENGINEERING TECHNOLOGY,,
65,2503,INDUSTRIAL PRODUCTION TECHNOLOGIES,,
66,2504,MECHANICAL ENGINEERING RELATED TECHNOLOGIES,,
67,2599,MISCELLANEOUS ENGINEERING TECHNOLOGIES,,
68,2601,LINGUISTICS AND COMPARATIVE LANGUAGE AND LITERATURE,,
69,2602,FRENCH GERMAN LATIN AND OTHER COMMON FOREIGN LANGUAGE ,,
70,                ,STUDIES,,
71,2603,OTHER FOREIGN LANGUAGES,,
72,2901,FAMILY AND CONSUMER SCIENCES,,
73,3201,COURT REPORTING,,
74,3202,PRE-LAW AND LEGAL STUDIES,,
75,3301,ENGLISH LANGUAGE AND LITERATURE,,
76,3302,COMPOSITION AND RHETORIC,,
77,3401,LIBERAL ARTS,,
78,3402,HUMANITIES,,
79,3501,LIBRARY SCIENCE,,
80,3600,BIOLOGY,,
81,3601,BIOCHEMICAL SCIENCES,,
82,3602,BOTANY,,
83,3603,MOLECULAR BIOLOGY,,
84,3604,ECOLOGY,,
85,3605,GENETICS,,
86,3606,MICROBIOLOGY,,
87,3607,PHARMACOLOGY,,
88,3608,PHYSIOLOGY,,
89,3609,ZOOLOGY,,
90,3611,NEUROSCIENCE,,
91,3699,MISCELLANEOUS BIOLOGY,,
92,3700,MATHEMATICS,,
93,3701,APPLIED MATHEMATICS,,
94,3702,STATISTICS AND DECISION SCIENCE,,
95,3801,MILITARY TECHNOLOGIES,,
96,4000,MULTI/INTERDISCIPLINARY STUDIES,,
97,4001,INTERCULTURAL AND INTERNATIONAL STUDIES,,
98,4002,NUTRITION SCIENCES,,
99,4005,MATHEMATICS AND COMPUTER SCIENCE,,
100,4006,COGNITIVE SCIENCE AND BIOPSYCHOLOGY,,
101,4007,INTERDISCIPLINARY SOCIAL SCIENCES,,
102,4101,PHYSICAL FITNESS PARKS RECREATION AND LEISURE,,
103,4801,PHILOSOPHY AND RELIGIOUS STUDIES,,
104,4901,THEOLOGY AND RELIGIOUS VOCATIONS,,
105,5000,PHYSICAL SCIENCES,,
106,5001,ASTRONOMY AND ASTROPHYSICS,,
107,5002,ATMOSPHERIC SCIENCES AND METEOROLOGY,,
108,5003,CHEMISTRY,,
109,5004,GEOLOGY AND EARTH SCIENCE,,
110,5005,GEOSCIENCES,,
111,5006,OCEANOGRAPHY,,
112,5007,PHYSICS,,
113,5008,MATERIALS SCIENCE,,
114,5098,MULTI-DISCIPLINARY OR GENERAL SCIENCE,,
115,5102,NUCLEAR, INDUSTRIAL RADIOLOGY, AND BIOLOGICAL TECHNOLOGIES
116,5200,PSYCHOLOGY,,
117,5201,EDUCATIONAL PSYCHOLOGY,,
118,5202,CLINICAL PSYCHOLOGY,,
119,5203,COUNSELING PSYCHOLOGY,,
